Family,Oxygen,Carbon_Source,Proportion
Enterobacteriaceae,Aerobic,Glucose,1
Enterobacteriaceae,Aerobic,Glucose,1
Enterobacteriaceae,Aerobic,Glucose,1
Enterobacteriaceae,Aerobic,Glucose,1
Enterobacteriaceae,Aerobic,Glucose,1
Enterobacteriaceae,Aerobic,Glucose,1
Enterobacteriaceae,Aerobic,Glucose,1
Enterobacteriaceae,Aerobic,Glucose,1
Enterobacteriaceae,Aerobic,Glucose,1
Enterobacteriaceae,Aerobic,Glucose,1
Enterobacteriaceae,Aerobic,Glucose,1
Enterobacteriaceae,Aerobic,Glucose,1
Enterobacteriaceae,Aerobic,Glucose,1
Enterobacteriaceae,Aerobic,Glucose,1
Enterobacteriaceae,Aerobic,Glucose,1
Enterobacteriaceae,Aerobic,Glucose,1
Enterobacteriaceae,Aerobic,Glucose,1
Enterobacteriaceae,Aerobic,Glucose,1
Enterobacteriaceae,Aerobic,Glucose,1
Enterobacteriaceae,Aerobic,Glucose,1
Enterobacteriaceae,Aerobic,Glucose,1
Enterobacteriaceae,Aerobic,Glucose,1
Enterobacteriaceae,Aerobic,Glucose,1
Enterobacteriaceae,Aerobic,Glucose,1
Enterobacteriaceae,Aerobic,Glucose,1
Enterobacteriaceae,Aerobic,Glucose,1
Enterobacteriaceae,Aerobic,Glucose,1
Enterobacteriaceae,Aerobic,Glucose,1
Enterobacteriaceae,Aerobic,Glucose,1
Enterobacteriaceae,Aerobic,Glucose,1
Enterobacteriaceae,Aerobic,Glucose,1
Enterobacteriaceae,Aerobic,Glucose,1
Enterobacteriaceae,Aerobic,Glucose,1
Enterobacteriaceae,Aerobic,Glucose,1
Enterobacteriaceae,Aerobic,Glucose,1
Enterobacteriaceae,Aerobic,Glucose,1
Enterobacteriaceae,Aerobic,Glucose,1
Enterobacteriaceae,Aerobic,Glucose,1
Enterobacteriaceae,Aerobic,Glucose,1
Enterobacteriaceae,Aerobic,Glucose,1
Enterobacteriaceae,Aerobic,Glucose,1
