contig-100_0_2	iJN678.cbiH	31.3	131	84	2	9	135	243	371	3.6e-09	60.1
contig-100_0_2	iYL1228.KPN_03193	44.9	78	39	1	12	89	233	306	4.7e-09	59.7
contig-100_0_3	iJN746.PP_3410	90.0	250	25	0	1	250	1	250	5.2e-131	465.7
contig-100_0_5	iECW_1372.ECW_m2326	36.0	111	67	3	1	110	1	108	7.1e-09	59.7
contig-100_0_5	iWFL_1372.ECW_m2326	36.0	111	67	3	1	110	1	108	7.1e-09	59.7
contig-100_0_6	iRC1080.CRv4_Au5_s2_g8288_t1	33.2	244	151	5	602	841	245	480	6.4e-24	112.1
contig-100_0_7	iECW_1372.ECW_m2062	46.2	106	43	1	329	434	368	459	2.0e-13	75.9
contig-100_0_7	iWFL_1372.ECW_m2062	46.2	106	43	1	329	434	368	459	2.0e-13	75.9
contig-100_0_8	iWFL_1372.ECW_m0079	24.6	313	228	4	14	321	3	312	2.6e-08	58.5
contig-100_0_8	iECW_1372.ECW_m0079	24.6	313	228	4	14	321	3	312	2.6e-08	58.5
contig-100_0_9	iJN746.PP_3416	83.8	179	29	0	1	179	1	179	3.3e-79	293.1
contig-100_0_10	iJN746.PP_3417	97.8	450	10	0	1	450	1	450	1.5e-237	820.5
contig-100_0_11	iAF987.Gmet_1914	41.8	110	64	0	5	114	4	113	1.3e-13	76.6
contig-100_0_12	iRC1080.CRv4_Au5_s2_g8288_t1	28.2	220	140	9	287	491	247	463	4.9e-11	68.2
contig-100_0_13	iRC1080.CRv4_Au5_s2_g8288_t1	26.4	250	160	9	249	482	222	463	1.4e-07	56.6
contig-100_0_14	iAF987.Gmet_1953	40.4	193	104	5	5	188	7	197	1.2e-24	112.1
contig-100_0_14	iAF987.Gmet_3262	44.3	140	75	2	50	188	118	255	5.4e-22	103.2
contig-100_0_15	iWFL_1372.ECW_m3232	41.7	144	78	3	1	140	4	145	6.3e-25	112.5
contig-100_0_15	iECW_1372.ECW_m3232	41.7	144	78	3	1	140	4	145	6.3e-25	112.5
contig-100_0_17	iYO844.BSU03070	29.2	401	276	6	13	410	10	405	9.9e-44	176.8
contig-100_0_20	iAF987.Gmet_1914	29.9	117	82	0	4	120	3	119	1.9e-09	61.6
